Rndrng_NPI,Rndrng_Prvdr_Type,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Gndr,Tot_HCPCS_Cds,Bene_Male_Cnt,Bene_Avg_Age,Tot_Srvcs,Tot_Benes,Bene_Avg_Risk_Scre,Tot_Sbmtd_Chrg,Tot_Mdcr_Pymt_Amt,year,Fraud
1144645441,Nurse Practitioner,KY,F,15,106.0,69,504.0,315,1.5928,103833.0,25026.71,2016,0
1215036645,General Surgery,TN,M,35,42.0,68,128.0,69,1.9847,176562.4,34067.57,2017,0
1598203416,Certified Registered Nurse Anesthetist (CRNA),FL,M,15,82.0,73,23.0,21,4.9356,35451.0,5020.17,2018,0
1386608115,Dermatology,NC,F,32,385.0,74,4810.0,1146,0.7887,630920.0,214255.9,2018,0
1497773790,Optometry,MA,M,8,62.0,71,153.0,140,0.9155,21300.0,13016.19,2017,0
1104852151,Diagnostic Radiology,NJ,F,49,88.0,74,1268.0,300,1.0468,865070.0,76373.66,2019,0
1235589078,Nurse Practitioner,PA,M,18,143.0,74,362.0,323,1.7617,128995.0,29105.07,2019,0
1881746675,Physician Assistant,PA,F,8,19.0,59,56.0,36,9.3065,17536.0,4104.24,2018,0
1003123985,Nurse Practitioner,CT,F,17,108.0,75,549.0,241,2.011,60490.0,19999.99,2016,0
1669571360,Certified Clinical Nurse Specialist,OH,F,5,49.0,55,383.0,109,1.6054,51650.87,18068.67,2017,0
1659355048,Optometry,NV,F,9,15.0,73,64.0,50,1.3823,9020.0,4261.07,2019,0
1114924404,Physician Assistant,LA,F,32,28.0,72,223.0,65,0.978,16131.0,3987.85,2017,0
1629310453,Family Practice,IN,F,30,25.0,70,492.0,67,1.077,36064.0,15892.15,2018,0
1639182348,Registered Dietitian or Nutrition Professional,FL,F,2,82.0,67,88.0,14,1.2407,3080.0,2493.16,2018,0
1831188200,Psychiatry,MA,M,8,34.0,52,289.0,64,1.2056,31013.0,13122.92,2017,0
1144242645,Gastroenterology,CA,M,29,83.0,80,1420.0,199,1.9372,206795.0,117957.2,2018,0
1891755435,Obstetrics & Gynecology,PA,M,11,0.0,64,23.0,15,0.8376,5360.0,2371.26,2016,0
1750585725,Internal Medicine,ME,M,14,534.0,74,2794.0,1236,1.696,481108.9,76818.52,2017,0
1437411139,Physician Assistant,NY,F,1,82.0,70,13.0,11,7.2904,2461.0,396.5,2016,0
1477931806,Licensed Clinical Social Worker,ND,F,4,82.0,53,57.0,12,1.7553,10744.0,2514.14,2019,0
1447502786,Optometry,HI,M,11,12.0,73,65.0,32,0.954,8980.0,5005.21,2016,0
1174659593,Psychiatry,NM,M,15,94.0,56,901.0,183,1.3344,267455.0,35860.65,2019,0
1225194020,Internal Medicine,NY,M,28,76.0,79,1968.0,208,1.9805,341405.0,98035.99,2016,0
1881794576,"Psychologist, Clinical",NY,F,3,30.0,78,1116.0,82,4.663,191430.12,75020.58,2019,0
1497150387,Nurse Practitioner,OK,F,53,33.0,72,607.0,107,1.2056,33494.0,12741.02,2019,0
1083601892,Certified Registered Nurse Anesthetist (CRNA),WV,F,45,136.0,71,303.0,297,1.3314,115751.05,20029.87,2019,0
1003842949,Diagnostic Radiology,MI,M,82,293.0,70,1591.0,1287,1.4537,149838.0,37953.18,2018,0
1104204510,Internal Medicine,MN,M,18,23.0,71,56.0,38,1.9533,4539.17,3094.12,2017,0
1346325180,Otolaryngology,CA,M,35,458.0,78,3503.0,964,1.2146,596695.0,261278.38,2019,0
1063489441,Nurse Practitioner,MO,F,7,45.0,75,248.0,124,1.4205,39722.0,8854.39,2016,0
1215371331,Emergency Medicine,MA,M,21,212.0,62,509.0,404,2.339,385997.0,58543.86,2019,0
1043241235,General Surgery,FL,M,49,58.0,70,255.0,127,3.1547,133425.0,45978.04,2019,0
1316993462,Emergency Medicine,NC,M,79,297.0,77,3651.0,856,1.7059,541461.24,208080.01,2017,0
1285165175,Nurse Practitioner,TN,F,14,76.0,65,574.0,251,1.7641,84675.0,43385.03,2017,0
1194162883,Family Practice,GA,M,12,49.0,72,177.0,91,1.1983,3904.0,1514.95,2018,0
1144750886,Optometry,ID,M,15,25.0,70,135.0,47,1.6228,12760.0,8435.72,2017,0
1033166988,Psychiatry,MN,M,5,30.0,55,420.0,86,1.3176,93600.0,32566.58,2017,0
1720241185,Advanced Heart Failure and Transplant Cardiology,TN,M,36,372.0,72,2245.0,603,2.6524,446086.0,144689.59,2019,0
1386052298,Licensed Clinical Social Worker,NC,F,4,69.0,80,1485.0,204,2.3653,113707.52,63689.24,2019,0
1205943156,Anesthesiology,OH,M,12,82.0,71,16.0,13,1.1111,11231.32,1391.3,2017,0
1508111808,Neurology,TX,M,11,80.0,74,321.0,175,1.5082,118040.0,38681.47,2018,0
1841663747,Nurse Practitioner,MO,F,10,145.0,73,448.0,342,1.1448,29499.0,15983.74,2016,0
1518315209,Internal Medicine,AZ,F,6,18.0,72,61.0,42,1.1801,9627.0,3602.67,2019,0
1619904505,Licensed Clinical Social Worker,OH,F,4,16.0,63,640.0,56,0.9152,64420.0,44730.95,2016,0
1467513390,Family Practice,PA,F,7,150.0,73,348.0,321,1.8315,448308.09,41649.72,2019,0
1891799631,Nurse Practitioner,TN,F,27,16.0,70,165.0,48,1.1484,11812.8,3268.14,2016,0
1548289481,Certified Registered Nurse Anesthetist (CRNA),ME,M,46,103.0,71,241.0,216,1.5034,188034.1,18286.38,2016,0
1447510003,Anesthesiology,CA,F,18,23.0,74,100.0,75,1.3909,192586.08,14171.79,2018,0
1730341751,Diagnostic Radiology,MN,M,71,197.0,68,521.0,453,1.4004,63029.0,29657.7,2019,0
1003886599,Certified Clinical Nurse Specialist,VT,F,7,31.0,54,209.0,91,1.209,45268.0,12513.09,2017,0
1538483052,Internal Medicine,DC,M,22,73.0,68,389.0,187,1.9002,131158.89,18601.76,2017,0
1124280060,General Surgery,VA,M,10,82.0,74,30.0,14,2.2282,6422.0,2131.81,2019,0
1598817942,Licensed Clinical Social Worker,FL,M,3,82.0,68,116.0,19,1.5029,16255.0,9474.29,2019,0
1982045209,Internal Medicine,IL,M,22,165.0,75,1289.0,353,2.0462,308391.0,111076.09,2018,0
1053644245,Physician Assistant,VA,F,10,30.0,72,85.0,44,1.9653,8308.0,3191.99,2017,0
1144576893,Internal Medicine,MD,F,7,40.0,66,211.0,57,2.2723,54939.0,14475.95,2019,0
1295713592,Physician Assistant,NY,M,60,88.0,74,1832.0,163,0.9751,123210.0,44818.57,2018,0
1497910814,Physician Assistant,IL,F,20,125.0,76,613.0,309,1.0825,103756.0,29497.42,2016,0
1497705065,Pulmonary Disease,MA,M,42,361.0,74,3637.0,916,1.7879,1101041.02,235049.96,2019,0
1811066087,Physical Therapist in Private Practice,MT,M,11,26.0,71,1844.0,57,1.0263,109925.0,37237.37,2019,0
1881958189,Nurse Practitioner,UT,F,10,73.0,71,296.0,132,3.3496,87245.2,19844.88,2018,0
1124001771,Physician Assistant,MI,M,43,33.0,72,204.0,61,1.1856,100254.66,15685.96,2017,0
1043303019,Nurse Practitioner,AR,F,33,252.0,75,2031.0,548,1.1789,158882.0,47737.82,2019,0
1265833206,"Psychologist, Clinical",TX,F,6,82.0,63,423.0,22,0.8614,52175.32,39708.66,2019,0
1023012861,Orthopedic Surgery,PA,M,51,423.0,74,10649.0,1228,1.0159,1706499.11,452980.39,2019,0
1528090164,Gastroenterology,CO,M,54,268.0,71,1236.0,582,1.4016,494119.83,117763.38,2016,0
1851498224,Diagnostic Radiology,CA,F,135,257.0,72,11974.0,1230,1.4275,496759.76,169438.37,2019,0
1871859389,Emergency Medicine,MI,F,14,55.0,69,174.0,103,2.1189,105102.0,13231.52,2019,0
1588656284,Physical Therapist in Private Practice,WA,F,5,82.0,75,366.0,24,1.2785,25728.86,8206.31,2018,0
1326002411,Medical Oncology,AZ,M,114,254.0,75,126122.0,538,1.9603,4498238.9,1095643.1,2017,0
1598022279,Anesthesiology,TX,M,29,16.0,74,61.0,47,1.6549,144096.0,8536.53,2017,0
1043506579,Family Practice,MA,F,33,64.0,65,395.0,183,1.158,55583.66,20863.47,2016,0
1205271343,Nurse Practitioner,TN,F,95,77.0,69,1902.0,197,1.3521,118206.0,33733.2,2018,0
1770721003,Nurse Practitioner,NC,F,38,24.0,64,1175.0,53,0.9273,43844.28,16917.77,2017,0
1336115526,Certified Registered Nurse Anesthetist (CRNA),TN,F,31,65.0,71,142.0,138,1.2172,398701.5,35116.79,2019,0
1063647741,Diagnostic Radiology,PA,M,141,857.0,71,2972.0,1983,1.9046,473189.0,56908.74,2016,0
1679547533,Family Practice,VA,M,47,140.0,69,1049.0,444,1.1699,117676.02,23047.79,2019,0
1205839321,General Surgery,PA,M,94,74.0,73,655.0,251,1.5585,249418.0,83987.54,2017,0
1356381941,Anesthesiology,CA,M,71,155.0,75,414.0,341,1.7602,544920.0,75210.6,2016,0
1447296538,Nephrology,KY,M,31,530.0,74,7838.0,1249,2.926,2058203.0,656841.27,2016,0
1003912601,Psychiatry,IL,M,3,35.0,54,613.0,118,1.3756,34461.25,21252.04,2018,0
1811989874,General Surgery,FL,M,11,16.0,62,247.0,72,1.7256,226720.0,40051.93,2016,0
1053861500,Nurse Practitioner,KY,F,18,33.0,71,110.0,80,0.7969,8503.0,3338.49,2017,0
1902160229,Licensed Clinical Social Worker,NY,F,5,82.0,49,315.0,18,1.0651,37504.31,14063.77,2017,0
1336331313,Family Practice,AZ,F,22,43.0,69,295.0,104,0.6036,31598.7,19005.78,2019,0
1891998415,Occupational Therapist in Private Practice,NJ,F,8,51.0,77,6980.0,122,1.7454,292874.0,166108.78,2016,0
1720160013,Family Practice,WA,M,36,125.0,72,634.0,362,1.1523,89107.0,20709.69,2018,0
1710919881,Family Practice,NM,F,10,37.0,73,194.0,108,0.7922,5447.5,813.66,2019,0
1437282035,Audiologist,LA,F,4,82.0,82,25.0,13,0.9638,2395.0,434.61,2017,0
1861654758,Nurse Practitioner,FL,M,9,32.0,79,87.0,76,1.7273,41904.0,9957.71,2018,0
1033489240,Certified Registered Nurse Anesthetist (CRNA),NM,F,14,80.0,71,228.0,224,0.8036,176625.0,26740.45,2018,0
1811028418,Nurse Practitioner,MO,F,11,18.0,73,78.0,52,0.9428,8730.0,1825.86,2018,0
1255306296,Hematology-Oncology,NJ,M,190,338.0,77,234019.0,896,1.9754,8775578.36,3392088.34,2016,0
1063407740,Internal Medicine,TX,M,27,228.0,73,8991.0,452,3.9236,643859.0,203760.55,2018,0
1215309851,Physician Assistant,WV,F,22,39.0,67,216.0,128,1.1441,32489.0,8515.97,2017,0
1073563870,Podiatry,NY,F,20,44.0,77,702.0,132,1.358,110610.0,34480.32,2016,0
1437462918,Pathology,IN,F,25,121.0,72,1019.0,305,1.9278,145869.0,28494.5,2016,0
1578827341,Nurse Practitioner,NY,F,2,82.0,53,81.0,13,1.1708,9429.48,3306.35,2019,0
